Disaster_Type,Country,Year,Total_Deaths,Injured,Damage_USD,Displaced_People,Latitude,Longitude
Tsunami,Bangladesh,1981,46,105,2692986594,497890,-57.83001166,-12.86391513
Wildfire,China,2000,49,116,2378098934,185406,63.19799682,-152.5613784
Drought,Bangladesh,1983,34,102,4128909700,622762,-45.88733012,19.13878068
Tsunami,Brazil,2003,54,101,3728876007,654274,-40.32667861,-61.6689406
Storm,India,1987,44,99,1444265028,592633,42.82893609,-136.288036
Volcanic Eruption,Japan,2003,44,102,289228661,957265,61.09559832,-12.1475732
Drought,Brazil,1980,47,110,1694695195,646905,15.08894791,-178.7817648
Drought,Philippines,2010,57,97,1852393933,158002,-19.53303739,-35.35731174
Tsunami,Philippines,1981,47,110,1314070282,59117,-10.81582366,-141.9353035
Flood,Bangladesh,2018,57,97,1570283877,809527,-11.99549386,-171.2546268
Storm,Mexico,1984,43,117,4643923584,732842,-14.26506547,116.8110166
Tsunami,USA,2000,49,104,1360387407,3991,-25.99264594,149.8495692
Storm,Mexico,2018,58,97,4953537552,23519,25.24139325,-105.2371266
Storm,Nigeria,1998,47,81,3190448386,813089,66.0567446,14.14737498
Volcanic Eruption,Mexico,1995,58,108,1531698448,787258,-17.00846217,-79.93506343
Drought,Nigeria,1987,49,105,2499749820,173697,-33.86279836,-2.312122078
Wildfire,Nigeria,2001,63,100,428555571,868481,57.40087329,-22.81272448
Volcanic Eruption,Japan,1991,63,117,2152198534,542089,43.84966632,-83.14162017
Volcanic Eruption,India,2007,51,98,2328313682,423062,70.31718442,72.14168867
Storm,Japan,1986,49,97,3885172301,39566,-36.82723702,-134.4632546
Landslide,Nigeria,1992,42,93,368170899,678517,-39.80481602,-160.8937984
Drought,Brazil,1993,55,112,3627769288,159435,15.8001152,96.36315589
Flood,Philippines,2019,48,105,2713501551,968063,26.02071168,59.73481124
Volcanic Eruption,Nigeria,1977,52,95,4634019529,392938,7.22428186,-0.530595307
Wildfire,Japan,2010,53,93,4041040965,922640,23.85532909,-11.59568263
Landslide,Brazil,1975,47,114,2991287631,713297,-34.74683236,-0.931903383
Landslide,Japan,1974,48,99,4805236297,541709,7.145925583,-22.6713326
Flood,Mexico,2013,57,113,4321219848,256080,32.13295853,-38.5587735
Volcanic Eruption,China,1998,47,100,1193336608,257230,0.578902895,-0.111382961
Wildfire,Bangladesh,1997,39,112,1076925545,78027,35.12262701,10.26546162
Drought,USA,1980,48,97,3651893395,531834,3.166779278,69.08483307
Earthquake,Japan,1970,53,107,4921668969,333583,-13.29605868,76.03457786
Wildfire,USA,2012,48,101,892030490,701983,-17.49529341,-44.05353115
Flood,Indonesia,1988,42,101,1168928464,802838,-2.473711742,-31.12541181
Landslide,Japan,1978,51,98,1650726179,997989,-56.76745282,-45.46901889
Drought,China,1996,50,112,4029296880,392353,33.59351938,13.15287851
Wildfire,USA,2003,67,99,2274090236,271969,58.31478974,-16.79272635
Earthquake,Nigeria,2013,62,106,43825005,989327,-10.35220678,140.2547267
Earthquake,Japan,1973,53,104,1713121409,241569,-53.55536094,70.69005609
Storm,India,2005,56,98,1874760486,296317,78.14858363,143.5162982
Storm,Bangladesh,1987,54,125,4816208207,261536,-23.08224424,75.28931696
Tsunami,China,1984,55,100,1171939125,317763,-42.27304296,169.5571735
Flood,USA,2020,51,93,2181331910,345258,-8.234648884,48.86524017
Volcanic Eruption,China,1982,49,93,3736758929,369215,43.39798569,166.8780497
Wildfire,Brazil,1988,62,105,4497393718,925427,-18.85167644,-123.0588395
